date,plant_energy_before(kwh),plant_energy_after(kwh),tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,humidity,windspeed,uvindex
2023-01-01,31124.0,,30.1,20.2,24.8,29.9,20.2,24.8,59.6,16.1,5
2023-01-02,27481.0,,30.4,21.0,25.3,32.3,21.0,25.6,59.8,17.7,4
2023-01-03,34559.0,,30.5,23.7,26.9,32.3,23.7,27.5,59.2,17.0,6
2023-01-04,35418.0,,32.0,25.0,27.6,33.4,25.0,28.1,56.1,16.1,5
2023-01-05,37479.0,,32.3,23.2,27.2,33.8,23.2,27.8,59.5,16.1,4
2023-01-06,37194.0,,30.6,23.2,26.7,31.4,23.2,27.1,58.4,18.9,5
2023-01-07,32070.0,,28.8,22.2,25.5,28.9,22.2,25.6,52.7,15.2,5
2023-01-08,33325.0,,29.5,24.4,26.7,29.9,24.4,26.9,52.8,20.9,3
2023-01-09,38059.0,,32.2,25.0,28.1,32.9,25.0,28.7,54.7,14.7,6
2023-01-10,40736.0,,31.0,26.0,28.0,34.2,26.0,29.6,64.8,18.4,4
2023-01-11,39458.0,,28.5,24.0,26.1,32.2,24.0,27.1,78.9,16.6,2
2023-01-12,42590.0,,31.4,24.0,27.1,36.0,24.0,28.8,78.0,12.1,4
2023-01-13,44306.0,,32.8,25.0,28.0,38.6,25.0,30.3,78.4,14.3,5
2023-01-14,44805.0,,32.7,24.2,28.3,38.4,24.2,30.3,75.5,13.9,6
2023-01-15,41644.0,,33.3,24.6,28.1,37.6,24.6,29.1,69.6,13.4,6
2023-01-16,40896.0,,33.7,24.0,28.0,36.2,24.0,29.0,65.8,11.6,6
2023-01-17,41998.0,,32.9,23.0,27.9,35.9,23.0,29.0,67.8,16.6,5
2023-01-18,39780.0,,32.1,23.5,27.6,34.7,23.5,28.3,60.8,22.8,5
2023-01-19,38438.0,,32.5,21.2,26.8,33.9,21.2,27.0,56.8,14.8,5
2023-01-20,38351.0,,32.1,22.0,26.7,33.4,22.0,27.1,56.9,13.0,6
2023-01-21,36674.0,,32.9,22.2,26.9,32.9,22.2,26.9,53.7,19.1,6
2023-01-22,34638.0,,33.0,21.2,26.8,33.3,21.2,26.8,52.6,12.5,7
2023-01-23,39326.0,,35.2,22.2,28.1,36.0,22.2,28.1,52.5,12.5,7
2023-01-24,41070.0,,33.2,23.2,28.3,34.7,23.2,28.9,54.1,21.4,4
2023-01-25,34135.0,,29.5,21.0,24.7,29.9,21.0,24.8,53.4,22.3,7
2023-01-26,34379.0,,32.2,20.2,26.1,32.3,20.2,26.0,53.6,14.3,7
2023-01-27,37990.0,,32.2,22.2,27.1,32.9,22.2,27.3,55.3,14.3,6
2023-01-28,33316.0,,30.1,21.2,25.3,31.9,21.2,25.5,57.7,16.7,4
2023-01-29,27545.0,,29.6,20.0,24.1,30.5,20.0,24.1,53.0,19.5,6
2023-01-30,30026.0,,28.6,19.2,22.9,28.4,19.2,22.9,48.4,17.5,7
2023-01-31,30912.0,,32.0,19.2,25.0,31.7,19.2,24.8,47.6,10.7,6
2023-02-01,40219.0,,34.1,20.7,27.1,35.0,20.7,27.0,51.3,9.8,5
2023-02-02,37575.0,,35.2,23.2,28.9,38.4,23.2,29.8,56.9,12.1,5
2023-02-03,43840.0,,31.7,27.0,29.3,36.2,29.6,32.7,68.2,13.4,3
2023-02-04,45100.0,,33.0,26.7,28.9,39.3,29.6,33.1,75.9,17.6,5
2023-02-05,46177.0,,34.0,25.8,28.6,40.5,25.8,31.3,74.6,15.7,5
2023-02-06,48222.0,,33.3,26.0,28.8,40.0,26.0,32.1,78.0,19.5,6
2023-02-07,46720.0,,32.7,26.0,28.9,38.4,26.0,31.8,73.8,17.9,6
2023-02-08,51107.0,,34.7,26.0,29.5,39.0,26.0,32.8,72.4,17.0,7
2023-02-09,49624.0,,33.3,26.6,29.2,39.0,26.6,33.3,74.7,18.9,5
2023-02-10,49481.0,,33.7,26.0,29.1,38.3,26.0,32.1,72.6,19.8,5
2023-02-11,44969.0,,34.5,26.0,29.6,38.1,26.0,32.4,69.5,18.4,8
2023-02-12,47103.0,,34.5,26.2,29.5,39.4,26.2,33.2,72.8,18.5,9
2023-02-13,51362.0,,33.5,26.2,29.3,40.2,26.2,33.2,74.4,17.9,8
2023-02-14,53605.0,,35.7,26.0,29.9,41.7,26.0,34.2,73.5,14.3,9
2023-02-15,44622.0,,28.0,24.4,26.3,32.7,24.4,28.1,87.3,26.9,6
2023-02-16,41835.0,,30.3,23.1,26.6,33.0,23.1,27.6,74.7,21.3,8
2023-02-17,40278.0,,30.4,25.0,27.0,33.0,25.0,27.4,63.9,20.0,8
2023-02-18,40651.0,,33.3,23.2,27.7,35.1,23.2,28.4,58.9,16.1,9
2023-02-19,43354.0,,34.8,24.2,29.0,39.0,24.2,30.4,58.1,13.0,9
2023-02-20,42179.0,,32.9,25.2,28.8,35.2,25.2,30.1,57.6,18.9,7
2023-02-21,45108.0,,33.6,23.5,28.6,35.2,23.5,29.4,57.6,17.9,7
2023-02-22,31565.0,,33.8,22.9,28.7,34.4,22.9,29.3,57.0,20.0,7
2023-02-23,42988.0,,33.7,23.7,28.9,35.1,23.7,29.4,53.5,12.4,7
2023-02-24,44418.0,,36.1,23.7,29.6,37.2,23.7,30.0,52.9,17.0,7
2023-02-25,43448.0,,32.0,23.2,28.3,33.7,23.2,28.8,50.4,28.2,7
2023-02-26,34421.0,,30.6,22.0,26.3,31.4,22.0,26.4,53.1,20.4,7
2023-02-27,36656.0,,30.3,20.2,25.7,31.9,20.2,25.9,55.3,16.2,6
2023-02-28,42159.0,,32.9,22.0,27.4,35.6,22.0,27.8,53.0,16.5,7
2023-03-01,43627.0,,34.7,23.7,29.2,37.4,23.7,30.2,53.2,13.9,7
2023-03-02,43329.0,,34.8,25.6,30.4,36.3,25.6,31.3,49.7,18.4,6
2023-03-03,43430.0,,33.6,24.3,28.9,34.4,24.3,29.2,49.0,16.9,6
2023-03-04,39758.0,,33.0,23.7,28.3,34.3,23.7,28.7,53.1,21.9,5
2023-03-05,41235.0,,33.5,23.2,28.2,35.2,23.2,28.8,55.1,18.9,6
2023-03-06,40570.0,,33.7,24.2,28.6,34.3,24.2,29.1,54.7,21.9,6
2023-03-07,44539.0,,34.4,24.0,29.3,36.4,24.0,30.1,56.6,10.7,5
2023-03-08,49922.0,,34.7,25.2,29.8,38.6,25.2,31.6,63.6,12.1,5
2023-03-09,51371.0,,34.0,26.2,29.8,40.0,26.2,33.0,68.9,13.4,5
2023-03-10,54052.0,,34.5,26.7,29.7,38.9,29.5,33.5,69.7,11.2,5
2023-03-11,53124.0,,33.7,26.7,29.4,39.8,29.5,33.8,73.1,18.9,4
2023-03-12,52839.0,,33.7,27.0,29.6,39.8,30.0,34.3,73.0,17.0,4
2023-03-13,46884.0,,32.0,24.5,28.3,34.7,24.5,30.0,67.3,19.1,5
2023-03-14,45212.0,,33.0,24.2,28.6,35.0,24.2,29.6,58.5,16.2,6
